Modifier Group Name,Pop-up Automatically,Modifier,Price
Add on,Yes,Slaw,0
Add on,Yes,Onion,0
Add on,Yes,Mayo,0
Add on,Yes,Ketchup,0
Add on,Yes,Mustard,0
Add on,Yes,Lettuce,0
Add on,Yes,Tomato,0
Add on,Yes,Pickles,0
Add on,Yes,All The Way,0
Add on,Yes,EVERY,0
Add on,Yes,NO BUN,0
Add on,Yes,Texas Toast,0
Add on,Yes,Slaw On Side,0
Add on,Yes,Pickles On Side,0
Add on,Yes,Mayo On Side,0
Add on,Yes,Chopped Onions,0
Add on,Yes,BBQ Sauce,0
Make a Meal,Yes,Make a Meal 1/2 Onions Ring+D,4.99
Make a Meal,Yes,Make a Meal 1/2 FF+D,4.99
Salad Dressing,Yes,Ranch,0
Salad Dressing,Yes,Italian,0
Soft Drink,No,Pibb Xtra,0
Soft Drink,No,Sprite,0
Soft Drink,No,Minute Maid,0
Soft Drink,No,Diet Coke,0
Soft Drink,No,Zero Sugar Coke,0
Soft Drink,No,Original Coke,0
Chicken Burger,Yes,Add Bacon,2.99
Chicken Burger,Yes,Add Cheese,0.79
Bread Choice,Yes,White,0
Bread Choice,Yes,Wheat,0
Grilled cheese add,Yes,Add bacon,1.99
Grilled Onions add,Yes,Grilled onions,1.29
Hamburger Steak Add,Yes,Grilled Onions,0.99
Hamburger Steak Add,Yes,CHZ,0.99
Shake Flavor,Yes,Vanilla,0
Shake Flavor,Yes,Chocolate,0
Shake Flavor,Yes,Strawberry,0
Shake Flavor,Yes,Cookies & Cream,0
Shake Flavor,Yes,Orange,0
Hot Chocolate/Coffee Size,Yes,Large,2.79
Shake Size,Yes,16oz.,5.99
Shake Size,Yes,20oz.,6.99
Slaw,Yes,Small,1
Slaw,Yes,Large,3.29
Slaw,Yes,16oz.,7.49
Slaw,Yes,20oz.,11.99
Tea Choice,Yes,Sweet,0
Tea Choice,Yes,Unsweet,0
Weekly Special Add on,Yes,Slaw,0
Weekly Special Add on,Yes,Onion,0
Weekly Special Add on,Yes,Mayo,0
Weekly Special Add on,Yes,Ketchup,0
Weekly Special Add on,Yes,Mustard,0
Weekly Special Add on,Yes,Lettuce,0
Weekly Special Add on,Yes,Tomato,0
Weekly Special Add on,Yes,Pickles,0
Weekly Special Add on,Yes,ATW,0
Weekly Special Add on,Yes,EVERY,0
Weekly Special Add on,Yes,NO BUN,0
Weekly Special Add on,Yes,Chopped Onions,0
Weekly Special Add on,Yes,Texas Toast,0
Weekly Special Add on,Yes,CHZ,0.79
Weekly Special Add on,Yes,Bacon,2.99
Weekly Special Add on,Yes,CHILI,1.29
Weekly Special Add on,Yes,Grilled Onion,1.29
Milk Size,Yes,Large,2.99
Tea Size,Yes,Large,2.99
Tea Size,Yes,1 Gal.,8.99
Extras,Yes,Extra Slaw,0.49
Extras,Yes,Extra Lettuce,0.49
Extras,Yes,Extra Onions,0.49
Extras,Yes,Extra Tomato,0.49
Extras,Yes,Extra Pickles,0.49
Extras,Yes,Add Bacon,2.99
Extras,Yes,Add Chili,0.99
Extras,Yes,Add Grilled Onions,0.99
Extras,Yes,Extra Patty Small,3
Extras,Yes,Extra Patty Large,4
Extras,Yes,Add Chicken,4
Extras,Yes,Add Cheese,0.99
Extras,Yes,Extra Cheese,0.99
Extras,Yes,Vanilla,0
Extras,Yes,Strawberry,0
Extras,Yes,Cookies & Cream,0
Extras,Yes,1 Scoop,2.99
Extras,Yes,2 Scoop,3.99
Extras,Yes,3 Scoop,5.49
Extras,Yes,Sub FF for Onion Rings,0
